## Data extracted from vis_cal.fits HDU #1:
#SIMPLE  =                    T / Fits standard
#BITPIX  =                  -32 / Bits per pixel
#NAXIS   =                    1 / Number of axes
#NAXIS1  =                38907 / Axis length
#EXTEND  =                    F / File may contain extensions
#ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator
#IRAF-TLM= '2010-04-06T17:55:10' / Time of last modification
#DATE    = '2010-04-06T17:55:11' / Creation UTC (CCCC-MM-DD) date of FITS header
#CDELT1  =             0.125000 /
#CRVAL1  =             5336.875 /
#COMMENT FITS (Flexible Image Transport System) format is defined in 'Astronomy
#COMMENT and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
#AIRMASS =                 1.05
#APNUM1  = '1 1     '
#DC-FLAG =                    0
#WCSDIM  =                    1
#CTYPE1  = 'LINEAR  '
#CRPIX1  =                   1.
#CD1_1   =                0.125
#LTM1_1  =                   1.
#WAT0_001= 'system=equispec'
#WAT1_001= 'wtype=linear label=Wavelength units=angstroms'
#EXPTIME =                1200.
#EX-FLAG =                    0
#CA-FLAG =                    0
#BUNIT   = 'erg/cm2/s/A'
#END
#


# Wavelength  Flux
 5.36087500e+03  -1.77474187e-15
 5.36100000e+03  -1.02800365e-15
 5.36112500e+03  -7.05723764e-17
 5.36125000e+03  -6.28999996e-16
 5.36137500e+03  -1.21649641e-16
 5.36150000e+03  4.40625944e-17
 5.36162500e+03  9.37979722e-16
 5.36175000e+03  3.55064274e-16
 5.36187500e+03  1.05612981e-15
 5.36200000e+03  1.22297039e-16
 5.36212500e+03  5.15977637e-16
 5.36225000e+03  3.78119531e-16
 5.36237500e+03  -3.10129520e-16
 5.36250000e+03  9.83644221e-16
 5.36262500e+03  -2.12648601e-16
 5.36275000e+03  1.51695628e-15
 5.36287500e+03  1.65981850e-16
 5.36300000e+03  -8.97521828e-16
 5.36312500e+03  -3.34654406e-16
 5.36325000e+03  -4.86722549e-16
 5.36337500e+03  -5.25220143e-16
 5.36350000e+03  2.03998335e-15
 5.36362500e+03  1.10903241e-15
 5.36375000e+03  -1.47296827e-15
 5.36387500e+03  4.13917208e-16
 5.36400000e+03  -1.58986994e-15
 5.36412500e+03  -3.53210621e-16
 5.36425000e+03  -9.57972982e-16
 5.36437500e+03  -3.51689218e-16
 5.36450000e+03  1.27400659e-15
 5.36462500e+03  -6.24340786e-16
 5.36475000e+03  -1.78854120e-15
 5.36487500e+03  -3.22577112e-17
 5.36500000e+03  -5.58670057e-16
 5.36512500e+03  1.57413913e-16
 5.36525000e+03  -9.16492084e-16
 5.36537500e+03  3.64214109e-16
 5.36550000e+03  1.65872040e-16
 5.36562500e+03  5.86208739e-16
 5.36575000e+03  9.22905076e-16
 5.36587500e+03  -4.41643138e-16
 5.36600000e+03  2.35350248e-16
 5.36612500e+03  -1.00357935e-15
 5.36625000e+03  -4.22543286e-16
 5.36637500e+03  1.04249469e-15
 5.36650000e+03  2.45256802e-15
 5.36662500e+03  -5.23845309e-17
 5.36675000e+03  3.31477371e-16
 5.36687500e+03  -1.24043772e-15
 5.36700000e+03  7.26785834e-17
 5.36712500e+03  -1.04987532e-15
 5.36725000e+03  1.84888631e-16
 5.36737500e+03  2.66641869e-16
 5.36750000e+03  -1.44526722e-15
 5.36762500e+03  -5.83304369e-16
 5.36775000e+03  1.35973691e-15
 5.36787500e+03  -2.37583080e-16
 5.36800000e+03  -8.77248836e-16
 5.36812500e+03  -1.46800625e-15
 5.36825000e+03  9.59845758e-17
 5.36837500e+03  -5.01271398e-16
 5.36850000e+03  -5.23981357e-16
 5.36862500e+03  -1.32134196e-15
 5.36875000e+03  -3.83543904e-16
 5.36887500e+03  -4.15867475e-16
 5.36900000e+03  6.06812021e-17
 5.36912500e+03  -3.53351785e-16
 5.36925000e+03  -2.91011616e-16
 5.36937500e+03  -2.32444528e-16
 5.36950000e+03  -1.76115895e-15
 5.36962500e+03  -2.15287783e-16
 5.36975000e+03  9.91851957e-17
 5.36987500e+03  -6.80684676e-16
 5.37000000e+03  -6.10447804e-16
 5.37012500e+03  6.28514223e-16
 5.37025000e+03  2.66387468e-16
 5.37037500e+03  6.56268581e-16
 5.37050000e+03  -3.30560405e-16
 5.37062500e+03  -6.29306993e-16
 5.37075000e+03  -7.74116751e-16
 5.37087500e+03  -1.16283849e-15
 5.37100000e+03  8.05338015e-17
 5.37112500e+03  -4.38128884e-17
 5.37125000e+03  -7.23942543e-16
 5.37137500e+03  2.21182322e-17
 5.37150000e+03  9.82385437e-17
 5.37162500e+03  -2.23806089e-16
 5.37175000e+03  -1.02631615e-15
 5.37187500e+03  -3.97012680e-17
 5.37200000e+03  -4.11406391e-16
 5.37212500e+03  -2.91061141e-16
 5.37225000e+03  -8.59433708e-17
 5.37237500e+03  7.28608794e-16
 5.37250000e+03  -3.65363162e-16
 5.37262500e+03  5.10911798e-16
 5.37275000e+03  -2.11798114e-16
 5.37287500e+03  -2.55075766e-17
 5.37300000e+03  2.01856183e-16
 5.37312500e+03  4.32970473e-16
 5.37325000e+03  1.41955353e-15
 5.37337500e+03  -1.32770760e-16
 5.37350000e+03  -1.11675458e-16
 5.37362500e+03  -6.50741479e-16
 5.37375000e+03  4.83069719e-16
 5.37387500e+03  -1.05577088e-15
 5.37400000e+03  -5.94462334e-16
 5.37412500e+03  -6.17564575e-16
 5.37425000e+03  -6.09405636e-16
 5.37437500e+03  -2.70334139e-16
 5.37450000e+03  1.01395752e-15
 5.37462500e+03  -6.60287805e-16
 5.37475000e+03  5.47726391e-16
 5.37487500e+03  2.70205681e-16
 5.37500000e+03  -1.09331340e-16
 5.37512500e+03  1.74534567e-16
 5.37525000e+03  -7.20612433e-16
 5.37537500e+03  1.03289547e-16
 5.37550000e+03  2.96479372e-16
 5.37562500e+03  -8.10966814e-16
 5.37575000e+03  1.21868546e-16
 5.37587500e+03  4.95466099e-16
 5.37600000e+03  7.62116465e-16
 5.37612500e+03  2.00913449e-16
 5.37625000e+03  -3.57707122e-16
 5.37637500e+03  5.08527824e-16
 5.37650000e+03  -6.00126443e-16
 5.37662500e+03  -7.88400400e-17
 5.37675000e+03  -6.57454374e-16
 5.37687500e+03  -3.40173329e-16
 5.37700000e+03  2.84733169e-16
 5.37712500e+03  2.82925151e-16
 5.37725000e+03  -1.20349861e-15
 5.37737500e+03  9.44871817e-16
 5.37750000e+03  -2.29749958e-16
 5.37762500e+03  -5.32179736e-16
 5.37775000e+03  -2.00784925e-17
 5.37787500e+03  3.03673620e-16
 5.37800000e+03  9.22521285e-18
 5.37812500e+03  3.04676507e-16
 5.37825000e+03  -1.80281195e-16
 5.37837500e+03  4.12710610e-16
 5.37850000e+03  1.28364574e-16
 5.37862500e+03  4.52489659e-16
 5.37875000e+03  6.68637924e-18
 5.37887500e+03  7.41446982e-17
 5.37900000e+03  -7.53575898e-17
 5.37912500e+03  1.95129299e-16
 5.37925000e+03  -1.04047866e-16
 5.37937500e+03  -4.25683872e-16
 5.37950000e+03  4.07946261e-16
 5.37962500e+03  -8.28612628e-16
 5.37975000e+03  1.76880795e-16
 5.37987500e+03  -6.44818866e-16
 5.38000000e+03  -1.15055990e-15
 5.38012500e+03  1.02728076e-16
 5.38025000e+03  2.05439900e-16
 5.38037500e+03  -2.48804705e-16
 5.38050000e+03  2.49653617e-16
 5.38062500e+03  -7.98315318e-16
 5.38075000e+03  -4.67226603e-16
 5.38087500e+03  -2.19609981e-16
 5.38100000e+03  3.76920635e-16
 5.38112500e+03  -3.64650331e-16
 5.38125000e+03  -4.92583275e-16
 5.38137500e+03  -1.00236787e-16
 5.38150000e+03  -6.64076742e-16
 5.38162500e+03  2.73225274e-16
 5.38175000e+03  -1.11251094e-16
 5.38187500e+03  4.39221159e-17
 5.38200000e+03  4.94978420e-16
 5.38212500e+03  4.20216910e-16
 5.38225000e+03  5.90765035e-16
 5.38237500e+03  -6.73240951e-16
 5.38250000e+03  7.00727487e-16
 5.38262500e+03  -8.41151958e-17
 5.38275000e+03  -3.99517621e-16
 5.38287500e+03  3.06971649e-16
 5.38300000e+03  -1.24020486e-16
 5.38312500e+03  6.47629943e-17
 5.38325000e+03  -9.36963176e-16
 5.38337500e+03  -1.75281808e-16
 5.38350000e+03  -2.69974944e-16
 5.38362500e+03  -2.84771339e-16
 5.38375000e+03  4.82662402e-16
 5.38387500e+03  -4.62741881e-16
 5.38400000e+03  9.78158214e-17
 5.38412500e+03  2.44220933e-16
 5.38425000e+03  -4.10195981e-16
 5.38437500e+03  5.93699422e-17
 5.38450000e+03  6.99813486e-16
 5.38462500e+03  -1.72370186e-16
 5.38475000e+03  -6.56970798e-17
 5.38487500e+03  1.03136657e-16
 5.38500000e+03  -2.26488854e-16
 5.38512500e+03  2.48813652e-16
 5.38525000e+03  -4.99852936e-16
 5.38537500e+03  3.46039958e-16
 5.38550000e+03  -3.91291608e-16
 5.38562500e+03  -3.27380987e-16
 5.38575000e+03  1.85576660e-16
 5.38587500e+03  -1.01511711e-16
 5.38600000e+03  -1.27885048e-16
 5.38612500e+03  -7.71099514e-16
 5.38625000e+03  -2.57761853e-17
 5.38637500e+03  5.43180947e-16
 5.38650000e+03  8.58645875e-16
 5.38662500e+03  -6.94889088e-17
 5.38675000e+03  -4.29281062e-16
 5.38687500e+03  -7.29347301e-16
 5.38700000e+03  -8.96259114e-16
 5.38712500e+03  2.58537140e-16
 5.38725000e+03  -3.49450880e-16
 5.38737500e+03  9.88079074e-16
 5.38750000e+03  -2.34002063e-16
 5.38762500e+03  -2.58365139e-16
 5.38775000e+03  -5.03793651e-16
 5.38787500e+03  -3.52806891e-17
 5.38800000e+03  1.15432671e-16
 5.38812500e+03  6.49646874e-17
 5.38825000e+03  -7.28535844e-16
 5.38837500e+03  2.46519460e-17
 5.38850000e+03  -5.67054809e-17
 5.38862500e+03  3.48212809e-16
 5.38875000e+03  -3.84086031e-16
 5.38887500e+03  2.24571761e-17
 5.38900000e+03  -2.54906042e-16
 5.38912500e+03  -7.91563407e-17
 5.38925000e+03  -5.09646489e-17
 5.38937500e+03  -2.21695085e-16
 5.38950000e+03  -2.82902043e-16
 5.38962500e+03  -1.24374903e-16
 5.38975000e+03  1.91938023e-16
 5.38987500e+03  4.17200043e-16
 5.39000000e+03  2.80317137e-16
 5.39012500e+03  -4.17199884e-16
 5.39025000e+03  3.90284221e-16
 5.39037500e+03  -4.21116512e-16
 5.39050000e+03  -8.69553436e-18
 5.39062500e+03  -2.58137976e-16
 5.39075000e+03  -3.49575077e-16
 5.39087500e+03  4.42400226e-16
 5.39100000e+03  3.06694934e-16
 5.39112500e+03  -3.38608726e-16
 5.39125000e+03  2.25308170e-16
 5.39137500e+03  3.33989697e-16
 5.39150000e+03  -1.31430807e-16
 5.39162500e+03  2.51655897e-16
 5.39175000e+03  -1.80437883e-16
 5.39187500e+03  1.40399615e-16
 5.39200000e+03  4.73877347e-16
 5.39212500e+03  -3.27119201e-16
 5.39225000e+03  9.08646124e-17
 5.39237500e+03  4.60370083e-16
 5.39250000e+03  5.04446290e-16
 5.39262500e+03  1.87318610e-16
 5.39275000e+03  -6.12838237e-16
 5.39287500e+03  1.99551208e-16
 5.39300000e+03  5.44450809e-16
 5.39312500e+03  5.70336400e-16
 5.39325000e+03  6.70715151e-16
 5.39337500e+03  2.58131385e-16
 5.39350000e+03  -6.77634034e-17
 5.39362500e+03  3.92893321e-16
 5.39375000e+03  -3.24208015e-17
 5.39387500e+03  1.64699548e-16
 5.39400000e+03  4.05483116e-16
 5.39412500e+03  5.06433323e-17
 5.39425000e+03  1.08905541e-16
 5.39437500e+03  -1.09993832e-16
 5.39450000e+03  3.94560096e-16
 5.39462500e+03  5.25981255e-16
 5.39475000e+03  -8.40931504e-16
 5.39487500e+03  2.63444584e-16
 5.39500000e+03  -3.80379468e-16
 5.39512500e+03  -8.83359676e-17
 5.39525000e+03  2.51772020e-16
 5.39537500e+03  1.95736847e-16
 5.39550000e+03  -4.38257044e-16
 5.39562500e+03  2.93877260e-16
 5.39575000e+03  -1.52813465e-16
 5.39587500e+03  -3.80002459e-16
 5.39600000e+03  3.04565288e-17
 5.39612500e+03  -1.74098305e-16
 5.39625000e+03  3.76296769e-17
 5.39637500e+03  4.83741310e-16
 5.39650000e+03  3.63854067e-16
 5.39662500e+03  5.26709121e-16
 5.39675000e+03  6.43039422e-17
 5.39687500e+03  -8.26032618e-17
 5.39700000e+03  1.88751929e-17
 5.39712500e+03  -1.83467482e-16
 5.39725000e+03  -7.92379470e-17
 5.39737500e+03  -2.43530469e-16
 5.39750000e+03  3.02060710e-16
 5.39762500e+03  3.41994555e-16
 5.39775000e+03  -1.19474378e-17
 5.39787500e+03  5.82633730e-17
 5.39800000e+03  7.39385714e-17
 5.39812500e+03  -1.52799159e-16
 5.39825000e+03  1.85454572e-17
 5.39837500e+03  1.14931346e-16
 5.39850000e+03  -2.10061696e-16
 5.39862500e+03  8.54161011e-18
 5.39875000e+03  -7.65367589e-17
 5.39887500e+03  5.62518749e-17
 5.39900000e+03  2.65286616e-16
 5.39912500e+03  -4.21023391e-16
 5.39925000e+03  4.51135042e-16
 5.39937500e+03  -6.16652373e-16
 5.39950000e+03  -1.98030596e-17
 5.39962500e+03  -4.09789478e-17
 5.39975000e+03  -3.62405693e-16
 5.39987500e+03  -9.20865103e-17
 5.40000000e+03  -1.12455482e-16
 5.40012500e+03  -1.02467290e-16
 5.40025000e+03  6.53066836e-17
 5.40037500e+03  -9.83398303e-17
 5.40050000e+03  4.85843209e-17
 5.40062500e+03  -1.01058184e-16
 5.40075000e+03  -4.44124838e-16
 5.40087500e+03  1.60610536e-16
 5.40100000e+03  -1.75985561e-16
 5.40112500e+03  -1.86858195e-16
 5.40125000e+03  -7.44782703e-17
 5.40137500e+03  -2.68389305e-17
 5.40150000e+03  1.95336836e-16
 5.40162500e+03  1.60122513e-16
 5.40175000e+03  -8.38429210e-16
 5.40187500e+03  -1.14960450e-16
 5.40200000e+03  -1.35961401e-16
 5.40212500e+03  -4.39616135e-16
 5.40225000e+03  -1.65404822e-16
 5.40237500e+03  -4.70466239e-16
 5.40250000e+03  -5.77266188e-17
 5.40262500e+03  -2.28026166e-16
 5.40275000e+03  5.29455745e-17
 5.40287500e+03  -2.64380476e-16
 5.40300000e+03  -2.44996630e-16
 5.40312500e+03  2.05572580e-16
 5.40325000e+03  -1.02049266e-16
 5.40337500e+03  -2.39378631e-16
 5.40350000e+03  1.79501224e-16
 5.40362500e+03  -2.24084578e-16
 5.40375000e+03  -5.24676063e-17
 5.40387500e+03  -1.46195465e-16
 5.40400000e+03  1.81774356e-16
 5.40412500e+03  5.94070660e-17
 5.40425000e+03  -2.14542907e-17
 5.40437500e+03  -1.14814959e-16
 5.40450000e+03  -5.01410418e-16
 5.40462500e+03  -1.13703704e-16
 5.40475000e+03  -4.57273119e-17
 5.40487500e+03  5.67872461e-17
 5.40500000e+03  -5.68647256e-18
 5.40512500e+03  3.33192745e-16
 5.40525000e+03  4.36161405e-16
 5.40537500e+03  1.03390761e-16
 5.40550000e+03  -2.91252649e-16
 5.40562500e+03  -7.37996050e-17
 5.40575000e+03  2.97070495e-16
 5.40587500e+03  1.39228778e-16
 5.40600000e+03  -3.47801760e-16
 5.40612500e+03  -1.71119052e-17
 5.40625000e+03  -1.83841738e-16
 5.40637500e+03  -1.26977005e-17
 5.40650000e+03  6.65883909e-18
 5.40662500e+03  1.69267623e-16
 5.40675000e+03  6.49135147e-17
 5.40687500e+03  3.61694503e-16
 5.40700000e+03  -6.62058422e-17
 5.40712500e+03  -8.05907314e-17
 5.40725000e+03  1.40204308e-16
 5.40737500e+03  -1.89603726e-17
 5.40750000e+03  1.83687988e-16
 5.40762500e+03  -3.14985057e-16
 5.40775000e+03  -1.80708418e-16
 5.40787500e+03  9.68495487e-17
 5.40800000e+03  -1.60652292e-16
 5.40812500e+03  -3.44935771e-16
 5.40825000e+03  -2.82468071e-16
 5.40837500e+03  1.75502752e-16
 5.40850000e+03  1.11160078e-16
 5.40862500e+03  1.35390011e-16
 5.40875000e+03  -1.48262252e-16
 5.40887500e+03  3.77246028e-16
 5.40900000e+03  -1.49309727e-16
 5.40912500e+03  -4.46142775e-17
 5.40925000e+03  -2.56635789e-16
 5.40937500e+03  -4.55644632e-17
 5.40950000e+03  -2.78510951e-17
 5.40962500e+03  -4.91677645e-17
 5.40975000e+03  7.70179001e-17
 5.40987500e+03  6.31995369e-17
 5.41000000e+03  -5.47837129e-18
 5.41012500e+03  -2.87547410e-16
 5.41025000e+03  8.04037356e-17
 5.41037500e+03  3.32786089e-16
 5.41050000e+03  -1.93790206e-16
 5.41062500e+03  -7.80098816e-17
 5.41075000e+03  -8.52271449e-17
 5.41087500e+03  -5.14302731e-18
 5.41100000e+03  -8.69807546e-17
 5.41112500e+03  -2.14409417e-17
